Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:59.866140
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2505.0
Minimum Reflectance,405.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Chloride_Sinjarite_Crowley
Sample Name,Chloride_Sinjarite_Crowley
Sample Type,
Viewing Geometry,
Wavelength,Response
1661.0,0.918
1665.0,0.916
1669.0,0.914
1673.0,0.913
1677.0,0.913
1681.0,0.911
1685.0,0.909
1689.0,0.907
1693.0,0.904
1697.0,0.902
1701.0,0.897
1705.0,0.894
1709.0,0.89
1713.0,0.884
1717.0,0.876
1721.0,0.867
1725.0,0.855
1729.0,0.845
1733.0,0.833
1737.0,0.819
1741.0,0.801
1745.0,0.78
1749.0,0.757
1753.0,0.728
1757.0,0.697
1761.0,0.667
1765.0,0.643
1769.0,0.628
1773.0,0.624
1777.0,0.627
1781.0,0.637
1785.0,0.65
1789.0,0.662
1793.0,0.675
1797.0,0.688
1801.0,0.696
1805.0,0.702
1809.0,0.705
1813.0,0.705
1817.0,0.704
1821.0,0.704
1825.0,0.706
1829.0,0.707
1833.0,0.709
1837.0,0.713
1841.0,0.717
1845.0,0.72
1849.0,0.724
1853.0,0.727
1857.0,0.729
1861.0,0.729
1865.0,0.724
1869.0,0.718
1873.0,0.709
1877.0,0.699
1881.0,0.683
1885.0,0.661
1889.0,0.632
1893.0,0.596
1897.0,0.555
1901.0,0.507
1905.0,0.465
1909.0,0.432
1913.0,0.41
1917.0,0.395
1921.0,0.383
1925.0,0.369
1929.0,0.349
1933.0,0.323
1937.0,0.295
1941.0,0.268
1945.0,0.24
1949.0,0.215
1953.0,0.196
1957.0,0.186
1961.0,0.19
1965.0,0.209
1969.0,0.24
1973.0,0.273
1977.0,0.302
1981.0,0.329
1985.0,0.354
1989.0,0.378
1993.0,0.402
1997.0,0.429
2001.0,0.458
2005.0,0.486
2009.0,0.514
2013.0,0.539
2017.0,0.559
2021.0,0.577
2025.0,0.592
2029.0,0.605
2033.0,0.617
2037.0,0.628
2041.0,0.638
2045.0,0.645
2049.0,0.652
2053.0,0.659
2057.0,0.665
2061.0,0.67
2065.0,0.675
2069.0,0.68
2073.0,0.683
2077.0,0.683
2081.0,0.681
2085.0,0.679
2089.0,0.68
2093.0,0.683
2097.0,0.687
2101.0,0.691
2105.0,0.692
2109.0,0.691
2113.0,0.691
2117.0,0.688
2121.0,0.684
2125.0,0.68
2129.0,0.673
2133.0,0.664
2137.0,0.656
2141.0,0.647
2145.0,0.637
2149.0,0.627
2153.0,0.616
2157.0,0.604
2161.0,0.592
2165.0,0.581
2169.0,0.573
2173.0,0.565
2177.0,0.561
2181.0,0.559
2185.0,0.558
2189.0,0.558
2193.0,0.558
2197.0,0.559
2201.0,0.56
2205.0,0.561
2209.0,0.561
2213.0,0.563
2217.0,0.564
2221.0,0.563
2225.0,0.561
2229.0,0.56
2233.0,0.558
2237.0,0.555
2241.0,0.551
2245.0,0.547
2249.0,0.544
2253.0,0.541
2257.0,0.537
2261.0,0.533
2265.0,0.529
2269.0,0.525
2273.0,0.521
2277.0,0.519
2281.0,0.517
2285.0,0.513
2289.0,0.51
2293.0,0.505
2297.0,0.501
2301.0,0.497
2305.0,0.493
2309.0,0.49
2313.0,0.489
2317.0,0.489
2321.0,0.488
2325.0,0.487
2329.0,0.487
2333.0,0.487
2337.0,0.487
2341.0,0.487
2345.0,0.488
2349.0,0.487
2353.0,0.487
2357.0,0.486
2361.0,0.483
2365.0,0.482
2369.0,0.481
2373.0,0.478
2377.0,0.473
2381.0,0.468
2385.0,0.462
2389.0,0.456
2393.0,0.451
2397.0,0.445
2401.0,0.438
2405.0,0.43
2409.0,0.423
2413.0,0.414
2417.0,0.405
2421.0,0.395
2425.0,0.383
2429.0,0.369
2433.0,0.355
2437.0,0.34
2441.0,0.323
2445.0,0.307
2449.0,0.291
2453.0,0.277
2457.0,0.265
2461.0,0.258
2465.0,0.252
2469.0,0.249
2473.0,0.248
2477.0,0.248
2481.0,0.249
2485.0,0.249
2489.0,0.248
2493.0,0.248
2497.0,0.248
2501.0,0.247
2505.0,0.247
